year,percentile_90,extent
2001,798.74274,79500000.0
2002,712.0872,60750000.0
2003,847.51434,87000000.0
2004,766.13135,70750000.0
2005,842.99225,89500000.0
2006,807.43713,81000000.0
2007,853.82513,92500000.0
2008,868.07886,98500000.0
2009,874.1106,98250000.0
2010,893.57697,106000000.0
2011,971.37195,137500000.0
2012,983.85516,140250000.0
2013,676.5411,55500000.0
2014,827.1307,84250000.0
2015,891.04926,106000000.0
2016,893.49646,104000000.0
2017,765.69324,67750000.0
2018,687.29694,57750000.0
2019,936.9613,106500000.0
2020,885.5887,100500000.0
2021,849.8302,92000000.0
2022,818.58344,83750000.0
2023,889.1543,105000000.0
2024,770.6082,73000000.0
2025,826.87555,71000000.0
