year,percentile_90,extent
2001,909.40265,4936000000.0
2002,904.4292,4691000000.0
2003,804.92346,4255500000.0
2004,810.645,4132750000.0
2005,859.61725,4636000000.0
2006,752.6845,3678000000.0
2007,736.84906,3780750000.0
2008,894.2357,5058750000.0
2009,812.8383,4420500000.0
2010,788.3527,4204250000.0
2011,821.7411,4483500000.0
2012,925.9298,5287000000.0
2013,588.2418,1588500000.0
2014,927.17316,5212500000.0
2015,1069.5627,6192000000.0
2016,783.1858,4044500000.0
2017,675.53534,2967250000.0
2018,683.4287,3130000000.0
2019,949.13916,5542750000.0
2020,829.715,4545500000.0
2021,775.69904,3704750000.0
2022,894.7703,5034750000.0
2023,957.29626,5509500000.0
2024,756.75134,3791250000.0
2025,733.17535,3025750000.0
