year,percentile_90,extent
2001,1672.5487,894500000.0
2002,1743.4058,1310750000.0
2003,1672.4685,895250000.0
2004,1741.1854,1246750000.0
2005,1757.4335,1381500000.0
2006,1720.9437,1238500000.0
2007,1793.063,1488750000.0
2008,1699.4669,1097000000.0
2009,1642.7574,879000000.0
2010,1736.9958,1291750000.0
2011,1765.5631,1381250000.0
2012,1801.5656,1475000000.0
2013,1730.0865,1183000000.0
2014,1668.6818,1035000000.0
2015,1711.4626,1061000000.0
2016,1749.7452,1245250000.0
2017,1668.0824,805000000.0
2018,1671.2587,839750000.0
2019,1790.2645,1511000000.0
2020,1651.8374,967250000.0
2021,1758.2725,1253250000.0
2022,1673.7145,896000000.0
2023,1688.2817,1029250000.0
2024,1692.5509,1019250000.0
2025,1770.2928,1286250000.0
