year,percentile_90,extent
2001,1754.3446,401750000.0
2002,1752.2869,376750000.0
2003,1745.271,430500000.0
2004,1746.773,404000000.0
2005,1742.8209,408250000.0
2006,1740.1798,422500000.0
2007,1746.8527,458500000.0
2008,1747.7588,418000000.0
2009,1747.6714,448250000.0
2010,1745.0065,471750000.0
2011,1750.4213,474250000.0
2012,1750.7257,489250000.0
2013,1744.025,440000000.0
2014,1743.8254,461000000.0
2015,1750.7257,464250000.0
2016,1743.4468,471000000.0
2017,1748.6052,407000000.0
2018,1748.3522,384750000.0
2019,1744.9529,487000000.0
2020,1741.5911,398000000.0
2021,1761.272,461500000.0
2022,1742.9324,408000000.0
2023,1742.9324,428000000.0
2024,1759.5531,382250000.0
2025,1759.209,455500000.0
