year,percentile_90,extent
2001,2060.733,1139250000.0
2002,2057.7703,1327000000.0
2003,2058.209,1426500000.0
2004,2048.595,1544500000.0
2005,2051.8418,1581750000.0
2006,2075.7073,1125750000.0
2007,2075.4023,1537500000.0
2008,2046.8137,1408750000.0
2009,2047.9303,1172500000.0
2010,2076.8306,1543750000.0
2011,2050.1145,1615500000.0
2012,2066.3647,1575000000.0
2013,2046.054,1418500000.0
2014,2060.628,1133250000.0
2015,2090.7397,1108750000.0
2016,2061.7583,1432750000.0
2017,2053.026,1178500000.0
2018,2097.0178,840500000.0
2019,2056.4966,1518000000.0
2020,2032.261,1250000000.0
2021,2066.4585,1362250000.0
2022,2055.753,1069750000.0
2023,2034.1113,1399750000.0
2024,2061.1038,1285250000.0
2025,2080.2166,1310250000.0
