year,percentile_90,extent
2001,1058.3232,207000000.0
2002,1057.9613,217250000.0
2003,1111.6682,284250000.0
2004,1027.1907,173500000.0
2005,1095.2097,270500000.0
2006,1020.72174,81000000.0
2007,1038.7928,190000000.0
2008,1097.3362,259750000.0
2009,1073.4993,228250000.0
2010,1092.6047,262250000.0
2011,1104.7593,274000000.0
2012,1111.7035,283750000.0
2013,1044.2937,200000000.0
2014,1081.1227,247250000.0
2015,1064.4402,238750000.0
2016,1110.2231,281500000.0
2017,1085.2102,245250000.0
2018,1053.4985,150750000.0
2019,1110.9476,280500000.0
2020,1125.7653,294250000.0
2021,1068.0537,228250000.0
2022,1056.1796,219750000.0
2023,1123.8549,292000000.0
2024,1096.481,271500000.0
2025,1004.5772,65250000.0
