year,percentile_90,extent
2001,1327.1069,1931500000.0
2002,1456.2211,1314250000.0
2003,1397.8234,1787500000.0
2004,1451.6277,1433250000.0
2005,1333.2627,1868250000.0
2006,1357.3206,1816750000.0
2007,1358.9064,2013500000.0
2008,1254.659,2166000000.0
2009,1323.6453,2177000000.0
2010,1291.1401,2388250000.0
2011,1268.6903,2519500000.0
2012,1278.2185,2589750000.0
2013,1523.7474,1161000000.0
2014,1358.7521,2052250000.0
2015,1293.3274,2412750000.0
2016,1347.7947,2175000000.0
2017,1402.769,1717750000.0
2018,1453.447,1278250000.0
2019,1312.15,2374500000.0
2020,1255.2278,2099000000.0
2021,1380.0094,1976000000.0
2022,1278.9331,2126500000.0
2023,1184.0591,2320250000.0
2024,1350.9993,1774500000.0
2025,1418.9641,1625250000.0
