year,percentile_90,extent
2001,1174.6005,839750000.0
2002,1174.5464,845000000.0
2003,1189.6841,710500000.0
2004,1176.9829,772500000.0
2005,1160.0526,868750000.0
2006,1169.3077,814500000.0
2007,1174.379,926750000.0
2008,1181.9939,769000000.0
2009,1168.8348,830000000.0
2010,1168.1088,889250000.0
2011,1172.5393,858750000.0
2012,1174.5461,905250000.0
2013,1176.8625,802000000.0
2014,1174.5477,916000000.0
2015,1206.2762,668500000.0
2016,1174.8188,895000000.0
2017,1185.701,752250000.0
2018,1187.1241,707750000.0
2019,1174.4626,858500000.0
2020,1169.7622,790750000.0
2021,1170.8146,861000000.0
2022,1168.4607,818500000.0
2023,1175.382,870000000.0
2024,1173.9569,850750000.0
2025,1174.5471,906750000.0
