year,percentile_90,extent
2001,1375.8844,954500000.0
2002,1270.6162,762750000.0
2003,1377.6467,1267250000.0
2004,1314.8129,878500000.0
2005,1266.0664,617000000.0
2006,1328.0898,834000000.0
2007,1337.008,1019500000.0
2008,1322.3601,1059000000.0
2009,1329.0654,744500000.0
2010,1376.0986,1127500000.0
2011,1359.201,1287000000.0
2012,1428.109,1506750000.0
2013,1351.158,1038000000.0
2014,1390.871,1031500000.0
2015,1338.863,728250000.0
2016,1424.6896,1236000000.0
2017,1304.7246,995500000.0
2018,1314.486,809500000.0
2019,1396.1411,1317500000.0
2020,1304.5417,1071500000.0
2021,1338.8552,809500000.0
2022,1271.7557,694000000.0
2023,1404.7397,1081000000.0
2024,1231.888,707500000.0
2025,1369.8516,1129250000.0
