year,percentile_90,extent
2001,690.60583,62500000.0
2002,693.938,68250000.0
2003,632.3146,53750000.0
2004,697.8674,74000000.0
2005,758.60626,95500000.0
2006,713.08765,81500000.0
2007,771.9877,100750000.0
2008,749.9093,87500000.0
2009,703.3609,72500000.0
2010,773.10425,99000000.0
2011,774.39075,100000000.0
2012,846.08984,126750000.0
2013,711.0362,66000000.0
2014,749.94324,89000000.0
2015,714.04486,70000000.0
2016,753.12976,90000000.0
2017,720.80023,79750000.0
2018,712.1334,78250000.0
2019,721.2623,82750000.0
2020,708.27435,71000000.0
2021,751.4248,92000000.0
2022,713.178,81250000.0
2023,758.60626,95500000.0
2024,700.42596,73250000.0
2025,647.55945,66250000.0
