year,percentile_90,extent
2001,515.6739,41000000.0
2002,550.7107,48250000.0
2003,514.4736,41750000.0
2004,549.35535,47750000.0
2005,653.863,65000000.0
2006,604.70935,57500000.0
2007,656.4584,67500000.0
2008,655.91833,61500000.0
2009,557.4789,50500000.0
2010,649.4727,67250000.0
2011,683.2252,72500000.0
2012,732.8988,82750000.0
2013,551.97504,47000000.0
2014,652.8374,66000000.0
2015,568.786,51000000.0
2016,652.8374,68500000.0
2017,590.89905,57000000.0
2018,611.3651,58250000.0
2019,631.308,62750000.0
2020,556.35156,49250000.0
2021,611.39307,60500000.0
2022,620.71783,60500000.0
2023,667.48474,69500000.0
2024,574.7388,54000000.0
2025,554.92786,50250000.0
