year,percentile_90,extent
2001,769.0106,87000000.0
2002,737.23364,79500000.0
2003,669.0698,62500000.0
2004,791.77856,108250000.0
2005,839.0242,128750000.0
2006,807.8361,118000000.0
2007,867.31793,144250000.0
2008,832.25946,118500000.0
2009,849.33276,129750000.0
2010,860.2153,142000000.0
2011,909.14124,168000000.0
2012,999.82605,214000000.0
2013,848.6843,126250000.0
2014,900.31854,161000000.0
2015,767.44336,85750000.0
2016,876.4441,151500000.0
2017,812.6475,114750000.0
2018,840.96497,126500000.0
2019,856.65576,140250000.0
2020,807.39105,112250000.0
2021,882.74927,148750000.0
2022,870.48,142750000.0
2023,911.7153,165500000.0
2024,792.93884,108250000.0
2025,833.4618,124000000.0
