year,percentile_90,extent
2001,971.5868,946500000.0
2002,1023.29913,1017750000.0
2003,1000.964,999250000.0
2004,996.85706,958750000.0
2005,1140.0009,1283250000.0
2006,1095.6608,1201500000.0
2007,1128.0447,1269750000.0
2008,1063.0388,1169500000.0
2009,1122.0392,1252500000.0
2010,1165.7522,1391750000.0
2011,1178.2551,1456250000.0
2012,1338.1669,1917500000.0
2013,964.3178,859750000.0
2014,1144.7069,1300000000.0
2015,1220.4017,1625250000.0
2016,1084.7479,1190000000.0
2017,959.75653,898750000.0
2018,941.3142,866250000.0
2019,1138.22,1309500000.0
2020,1024.9633,1018250000.0
2021,1061.1183,1104750000.0
2022,1018.28876,989250000.0
2023,1173.0585,1302250000.0
2024,1015.2584,946750000.0
2025,966.7471,858500000.0
