year,percentile_90,extent
2001,920.89075,340750000.0
2002,858.32434,319500000.0
2003,962.8762,357500000.0
2004,868.08545,324750000.0
2005,739.8191,249750000.0
2006,833.1784,307750000.0
2007,920.92975,340500000.0
2008,977.48126,364750000.0
2009,876.9584,328750000.0
2010,1035.2933,379750000.0
2011,981.8288,366500000.0
2012,1029.9113,378000000.0
2013,903.067,336750000.0
2014,979.11444,365500000.0
2015,711.32526,232250000.0
2016,977.48126,364750000.0
2017,923.1013,341250000.0
2018,923.8077,341750000.0
2019,977.23834,364250000.0
2020,949.534,351000000.0
2021,914.5135,338500000.0
2022,894.4022,335250000.0
2023,1029.9113,378000000.0
2024,992.85706,369500000.0
2025,1001.8076,372750000.0
