year,percentile_90,extent
2001,1638.3093,392750000.0
2002,1596.4814,388000000.0
2003,1626.0919,407500000.0
2004,1616.8755,391750000.0
2005,1614.2527,424500000.0
2006,1603.7736,421250000.0
2007,1679.3705,512250000.0
2008,1602.3688,422250000.0
2009,1660.6685,458750000.0
2010,1666.8868,565000000.0
2011,1692.851,577750000.0
2012,1736.3103,734500000.0
2013,1622.4807,395000000.0
2014,1642.079,501250000.0
2015,1713.7948,580750000.0
2016,1682.9845,533500000.0
2017,1633.304,440750000.0
2018,1593.1853,366000000.0
2019,1719.9309,600750000.0
2020,1638.4391,380500000.0
2021,1660.4003,438250000.0
2022,1626.4427,369250000.0
2023,1701.2888,465000000.0
2024,1601.5502,370750000.0
2025,1660.0476,477750000.0
