year,percentile_90,extent
2001,1394.1481,2182000000.0
2002,1336.4713,1877750000.0
2003,1488.0198,2664750000.0
2004,1487.9259,2573250000.0
2005,1413.7291,2275000000.0
2006,1312.5657,1755500000.0
2007,1539.3336,2995000000.0
2008,1370.3433,2057250000.0
2009,1332.8635,1863250000.0
2010,1522.8774,2879000000.0
2011,1551.869,3086750000.0
2012,1699.5863,3900000000.0
2013,1463.1246,2601000000.0
2014,1465.8771,2628750000.0
2015,1416.6332,2292750000.0
2016,1545.3779,3035750000.0
2017,1355.9784,1981250000.0
2018,1384.4664,2111000000.0
2019,1557.8773,3081250000.0
2020,1357.5879,1982750000.0
2021,1475.4313,2641250000.0
2022,1385.3533,2141250000.0
2023,1523.0542,2887250000.0
2024,1293.8699,1684500000.0
2025,1479.0417,2696500000.0
