year,percentile_90,extent
2001,514.5928,224250000.0
2002,448.84354,168750000.0
2003,517.21375,228750000.0
2004,498.15094,202750000.0
2005,444.8242,156750000.0
2006,502.81918,210500000.0
2007,528.6429,236250000.0
2008,593.332,269750000.0
2009,599.2494,271750000.0
2010,588.3801,264000000.0
2011,560.7951,250000000.0
2012,659.1273,300250000.0
2013,425.55905,142500000.0
2014,514.26764,210000000.0
2015,643.87476,291250000.0
2016,514.3361,216750000.0
2017,478.71777,191500000.0
2018,438.14954,139000000.0
2019,621.1074,286250000.0
2020,470.09903,173000000.0
2021,486.9145,197000000.0
2022,490.21732,204500000.0
2023,506.96378,213750000.0
2024,457.45215,151250000.0
2025,401.58868,133500000.0
