year,percentile_90,extent
2001,1405.0895,3354500000.0
2002,1316.6497,2850250000.0
2003,1520.4114,4354000000.0
2004,1509.1776,3884250000.0
2005,1412.1965,3389750000.0
2006,1305.652,2782250000.0
2007,1554.3868,4759750000.0
2008,1371.6593,3186000000.0
2009,1315.1425,2841500000.0
2010,1558.1836,4645500000.0
2011,1558.9093,4862000000.0
2012,1719.2095,6346750000.0
2013,1457.6345,3871000000.0
2014,1492.5583,4167500000.0
2015,1403.5438,3340000000.0
2016,1581.9915,4934000000.0
2017,1347.4022,3018500000.0
2018,1378.4725,3218000000.0
2019,1623.0063,5376500000.0
2020,1384.2555,3213000000.0
2021,1507.8119,4147250000.0
2022,1350.436,3037750000.0
2023,1563.0066,4634500000.0
2024,1306.3672,2786750000.0
2025,1547.487,4653500000.0
