year,percentile_90,extent
2001,2119.2993,821500000.0
2002,2121.974,929250000.0
2003,2114.1243,974500000.0
2004,2112.3677,1035500000.0
2005,2113.157,1093750000.0
2006,2118.9412,953750000.0
2007,2114.9077,1105750000.0
2008,2109.4817,918250000.0
2009,2120.3337,793750000.0
2010,2122.6606,957750000.0
2011,2115.2588,1005250000.0
2012,2109.2883,1132500000.0
2013,2111.263,1047250000.0
2014,2112.1794,865000000.0
2015,2116.84,868750000.0
2016,2117.8237,1090500000.0
2017,2142.4192,695500000.0
2018,2126.5676,660000000.0
2019,2119.2195,952500000.0
2020,2105.035,786750000.0
2021,2114.524,850750000.0
2022,2103.264,762750000.0
2023,2097.3481,874500000.0
2024,2120.9573,765250000.0
2025,2123.605,863250000.0
