year,percentile_90,extent
2001,1236.1876,3379500000.0
2002,1251.9841,3469500000.0
2003,1333.9767,4207000000.0
2004,1350.5647,4201250000.0
2005,1311.434,4021750000.0
2006,1218.6135,3101500000.0
2007,1404.0476,5092250000.0
2008,1258.7732,3894500000.0
2009,1235.1162,3489000000.0
2010,1391.453,4925500000.0
2011,1410.092,5512750000.0
2012,1502.2881,6604000000.0
2013,1321.0364,4456000000.0
2014,1383.0562,4898750000.0
2015,1315.0814,4255250000.0
2016,1397.969,5301750000.0
2017,1286.4329,3877250000.0
2018,1334.9011,3871000000.0
2019,1435.441,5560250000.0
2020,1235.9366,3471750000.0
2021,1342.2842,4136250000.0
2022,1298.8374,3692750000.0
2023,1453.9335,4834750000.0
2024,1252.6438,3503750000.0
2025,1391.2122,4797250000.0
