year,percentile_90,extent
2001,1015.861,1534750000.0
2002,978.2894,1687250000.0
2003,1005.3948,1985000000.0
2004,942.9524,1453500000.0
2005,990.3956,1846250000.0
2006,986.32275,1136000000.0
2007,914.2438,889750000.0
2008,1052.6626,1998750000.0
2009,959.12256,1493250000.0
2010,970.03613,1751000000.0
2011,964.21924,1770250000.0
2012,1063.3022,2628750000.0
2013,904.85034,919250000.0
2014,1005.59955,1738750000.0
2015,1020.9589,2113250000.0
2016,1077.3181,2419750000.0
2017,1021.1076,1838250000.0
2018,1008.879,1677250000.0
2019,1049.1501,2480500000.0
2020,1054.9846,2406250000.0
2021,993.4285,1721750000.0
2022,1003.1191,1931250000.0
2023,1096.64,2834750000.0
2024,1016.43567,1937000000.0
2025,944.0387,1053000000.0
