year,percentile_90,extent
2001,1005.4679,766250000.0
2002,1047.1989,879500000.0
2003,1069.4998,954750000.0
2004,1028.2633,850500000.0
2005,1140.1803,1035250000.0
2006,1076.3156,955250000.0
2007,1186.835,1161250000.0
2008,1096.9127,1018750000.0
2009,1105.3234,1025250000.0
2010,1226.9487,1316500000.0
2011,1237.5703,1363750000.0
2012,1352.4829,1744500000.0
2013,1031.131,858500000.0
2014,1245.9845,1396750000.0
2015,1274.4958,1505250000.0
2016,1153.8987,1095750000.0
2017,1032.319,849000000.0
2018,978.626,728500000.0
2019,1188.6925,1149750000.0
2020,1078.5703,955500000.0
2021,1100.1615,966500000.0
2022,1000.83527,744250000.0
2023,1281.6381,1088000000.0
2024,1032.1487,819000000.0
2025,1044.3325,753500000.0
