year,percentile_90,extent
2001,1217.4108,90750000.0
2002,1193.947,85000000.0
2003,1235.4089,171750000.0
2004,1249.9746,163500000.0
2005,1257.5103,158500000.0
2006,1265.7645,172000000.0
2007,1295.7451,249000000.0
2008,1232.3256,184750000.0
2009,1265.368,138000000.0
2010,1293.8447,254250000.0
2011,1318.1208,273500000.0
2012,1367.9485,333000000.0
2013,1234.4639,183250000.0
2014,1287.1626,241750000.0
2015,1306.9702,234250000.0
2016,1302.7251,252250000.0
2017,1225.8848,122000000.0
2018,1244.6073,124500000.0
2019,1337.663,283750000.0
2020,1192.5626,127250000.0
2021,1269.8873,170250000.0
2022,1218.503,97750000.0
2023,1331.5228,191750000.0
2024,1243.524,115000000.0
2025,1293.9515,203500000.0
