year,percentile_90,extent
2001,1777.2161,1862250000.0
2002,1729.8081,1783750000.0
2003,1779.9199,1181250000.0
2004,1709.0216,1592500000.0
2005,1763.8472,1907000000.0
2006,1684.402,1660000000.0
2007,1773.9852,1993500000.0
2008,1714.2894,1657000000.0
2009,1718.0293,1790250000.0
2010,1769.0917,2077000000.0
2011,1797.6127,2100000000.0
2012,1817.2865,2399750000.0
2013,1695.0575,1715500000.0
2014,1738.4749,2030750000.0
2015,1784.2976,1525000000.0
2016,1804.9501,2127250000.0
2017,1743.2109,1586750000.0
2018,1708.4547,1764750000.0
2019,1800.1626,2160250000.0
2020,1699.5886,1695000000.0
2021,1703.1586,1830750000.0
2022,1747.5568,1759750000.0
2023,1757.9902,2067250000.0
2024,1725.2876,1862750000.0
2025,1742.7905,2108000000.0
