year,percentile_90,extent
2001,1281.484,630000000.0
2002,1272.151,613500000.0
2003,1310.2499,693500000.0
2004,1319.1075,714750000.0
2005,1351.4541,729500000.0
2006,1355.457,741500000.0
2007,1430.0973,872000000.0
2008,1294.9275,686500000.0
2009,1337.1292,725250000.0
2010,1410.0322,835000000.0
2011,1440.6119,925750000.0
2012,1521.6055,1195500000.0
2013,1338.1409,668250000.0
2014,1413.0676,833750000.0
2015,1424.8754,859750000.0
2016,1445.0192,908750000.0
2017,1323.3265,699500000.0
2018,1319.308,684500000.0
2019,1442.3228,953750000.0
2020,1306.5891,625500000.0
2021,1390.1466,772750000.0
2022,1308.2324,640250000.0
2023,1432.114,815250000.0
2024,1290.3132,621250000.0
2025,1409.1139,802750000.0
