year,percentile_90,extent
2001,1481.3925,1196000000.0
2002,1402.1404,951750000.0
2003,1561.365,1363750000.0
2004,1487.2175,1091000000.0
2005,1421.938,984000000.0
2006,1517.2981,1244500000.0
2007,1687.0776,1764250000.0
2008,1552.826,1378250000.0
2009,1460.5895,1119500000.0
2010,1667.2568,1741000000.0
2011,1640.8364,1653500000.0
2012,1842.1968,2456250000.0
2013,1476.1621,1188750000.0
2014,1606.6805,1453500000.0
2015,1311.406,765250000.0
2016,1668.8151,1659750000.0
2017,1471.1637,1163500000.0
2018,1492.2448,1231500000.0
2019,1629.0692,1565500000.0
2020,1556.9867,1380250000.0
2021,1713.3357,1614750000.0
2022,1539.565,1310750000.0
2023,1827.1823,1872500000.0
2024,1372.1506,869500000.0
2025,1582.9025,1399250000.0
