year,percentile_90,extent
2001,1209.5209,584500000.0
2002,1211.6467,583000000.0
2003,1237.0096,618500000.0
2004,1276.4435,649750000.0
2005,1249.109,630250000.0
2006,1249.9641,630750000.0
2007,1395.6068,761250000.0
2008,1264.4618,642500000.0
2009,1247.8468,629000000.0
2010,1347.2125,729500000.0
2011,1419.3203,823000000.0
2012,1473.4291,903750000.0
2013,1305.9401,680750000.0
2014,1305.3866,681500000.0
2015,1299.6904,671500000.0
2016,1387.3737,757750000.0
2017,1234.1761,614500000.0
2018,1238.0107,618750000.0
2019,1395.8337,764750000.0
2020,1188.1517,539000000.0
2021,1261.1736,639000000.0
2022,1219.5742,595250000.0
2023,1342.3832,713250000.0
2024,1223.7521,600250000.0
2025,1342.6875,720500000.0
