year,percentile_90,extent
2001,1367.2983,722750000.0
2002,1201.8545,441250000.0
2003,1375.0908,839250000.0
2004,1319.891,632750000.0
2005,1177.4757,411500000.0
2006,1306.9059,636250000.0
2007,1458.0863,942250000.0
2008,1362.9418,808750000.0
2009,1217.0214,491000000.0
2010,1451.2247,1034500000.0
2011,1546.5178,1305500000.0
2012,1665.77,1620250000.0
2013,1335.6603,727250000.0
2014,1369.9115,801500000.0
2015,1141.7488,349000000.0
2016,1460.6626,1045750000.0
2017,1284.2451,608750000.0
2018,1318.8381,699750000.0
2019,1432.673,1032250000.0
2020,1376.7686,894000000.0
2021,1631.9836,1042000000.0
2022,1254.2664,551250000.0
2023,1581.9178,1276750000.0
2024,1259.7097,508250000.0
2025,1404.3525,923750000.0
