year,percentile_90,extent
2001,1564.5028,444250000.0
2002,1479.8406,333000000.0
2003,1589.7021,423500000.0
2004,1588.2123,446750000.0
2005,1470.158,346000000.0
2006,1495.458,362750000.0
2007,1571.4841,430750000.0
2008,1622.5485,493000000.0
2009,1400.076,343000000.0
2010,1616.4299,525750000.0
2011,1585.4056,469500000.0
2012,1698.9421,584250000.0
2013,1450.3983,322250000.0
2014,1607.3038,408750000.0
2015,1521.4147,352000000.0
2016,1626.7214,485750000.0
2017,1592.3871,458750000.0
2018,1480.276,350000000.0
2019,1654.3815,483750000.0
2020,1663.946,464000000.0
2021,1626.3119,498000000.0
2022,1541.5106,388000000.0
2023,1740.7911,632000000.0
2024,1491.5483,366250000.0
2025,1622.6418,461250000.0
