year,percentile_90,extent
2001,2265.0107,628750000.0
2002,2198.6816,585000000.0
2003,2285.6306,472750000.0
2004,2264.1218,527500000.0
2005,2210.766,593500000.0
2006,2219.721,557750000.0
2007,2242.1753,656500000.0
2008,2252.4387,540750000.0
2009,2255.3672,547750000.0
2010,2242.3376,658500000.0
2011,2251.2239,617000000.0
2012,2275.9165,780500000.0
2013,2258.1885,613750000.0
2014,2210.4692,747750000.0
2015,2312.1062,494500000.0
2016,2260.0457,691250000.0
2017,2289.9653,487750000.0
2018,2289.2424,474000000.0
2019,2260.9902,657750000.0
2020,2241.2156,547250000.0
2021,2210.9968,605250000.0
2022,2242.4187,538250000.0
2023,2208.955,644500000.0
2024,2154.6902,514250000.0
2025,2156.0745,588750000.0
