year,percentile_90,extent
2001,955.1655,115750000.0
2002,943.20526,138000000.0
2003,1004.41296,72500000.0
2004,969.7261,86250000.0
2005,940.9663,148500000.0
2006,925.0721,146000000.0
2007,929.1343,181000000.0
2008,974.27313,85500000.0
2009,967.5395,95000000.0
2010,929.73334,172000000.0
2011,941.4159,150500000.0
2012,930.12744,182250000.0
2013,962.5248,102500000.0
2014,951.97327,151500000.0
2015,984.56,71750000.0
2016,966.2185,118500000.0
2017,982.07166,78750000.0
2018,978.1142,74500000.0
2019,951.96027,120000000.0
2020,959.81104,100750000.0
2021,932.2305,129750000.0
2022,972.02014,89500000.0
2023,971.8385,102250000.0
2024,966.4791,98500000.0
2025,940.5165,136500000.0
