year,percentile_90,extent
2001,761.30994,574250000.0
2002,768.99384,597000000.0
2003,814.112,678000000.0
2004,774.30426,593250000.0
2005,797.77014,644250000.0
2006,831.6739,693500000.0
2007,891.946,811250000.0
2008,875.7993,787000000.0
2009,882.0082,798250000.0
2010,907.9697,842500000.0
2011,915.6883,855250000.0
2012,1013.568,990500000.0
2013,683.3803,413250000.0
2014,859.15424,751250000.0
2015,991.53784,941750000.0
2016,821.9746,668750000.0
2017,744.9369,536750000.0
2018,684.9144,451500000.0
2019,903.17413,835000000.0
2020,788.407,628500000.0
2021,810.6638,660500000.0
2022,789.1445,626750000.0
2023,863.1822,739750000.0
2024,795.22345,613250000.0
2025,704.6753,455500000.0
