year,percentile_90,extent
2001,1285.9081,448750000.0
2002,1278.325,446750000.0
2003,1352.7314,313000000.0
2004,1294.6027,401750000.0
2005,1290.7921,454750000.0
2006,1280.8661,439250000.0
2007,1266.0756,505250000.0
2008,1316.859,376500000.0
2009,1290.6166,430250000.0
2010,1275.1937,477750000.0
2011,1275.292,454500000.0
2012,1297.8157,494750000.0
2013,1299.5209,427500000.0
2014,1272.0944,524250000.0
2015,1366.6575,291750000.0
2016,1276.4546,498250000.0
2017,1326.5741,361500000.0
2018,1358.424,307000000.0
2019,1288.1882,458500000.0
2020,1285.9573,405250000.0
2021,1291.4945,472750000.0
2022,1295.6539,404500000.0
2023,1281.1195,472500000.0
2024,1291.616,439250000.0
2025,1281.3165,479250000.0
