year,percentile_90,extent
2001,657.53094,90250000.0
2002,671.25183,112500000.0
2003,632.1091,73500000.0
2004,747.2642,144500000.0
2005,843.9736,199750000.0
2006,831.6176,193500000.0
2007,881.4111,221000000.0
2008,810.69147,187250000.0
2009,789.7794,149000000.0
2010,843.9459,217500000.0
2011,857.14886,228750000.0
2012,1007.85016,371000000.0
2013,774.1753,137750000.0
2014,755.1231,152000000.0
2015,739.61804,118500000.0
2016,759.8627,151500000.0
2017,737.53375,145000000.0
2018,757.55023,151250000.0
2019,772.5647,156500000.0
2020,734.51306,144500000.0
2021,812.4454,178250000.0
2022,760.5056,165250000.0
2023,869.5029,238500000.0
2024,757.00464,136750000.0
2025,860.44946,164250000.0
