year,percentile_90,extent
2001,655.6747,65500000.0
2002,708.9659,88000000.0
2003,657.31433,63250000.0
2004,748.551,102250000.0
2005,804.42523,125000000.0
2006,810.51794,126500000.0
2007,828.90063,143000000.0
2008,771.1856,116750000.0
2009,756.908,102250000.0
2010,834.1345,137750000.0
2011,893.44257,153250000.0
2012,955.31213,220000000.0
2013,786.82837,101250000.0
2014,792.39874,114750000.0
2015,742.9005,93750000.0
2016,763.8548,110750000.0
2017,757.6226,104250000.0
2018,760.61414,108500000.0
2019,768.84973,109500000.0
2020,743.9198,104750000.0
2021,788.83356,122250000.0
2022,752.6829,108250000.0
2023,865.0984,151000000.0
2024,762.86536,112250000.0
2025,749.7444,99000000.0
