year,percentile_90,extent
2001,645.5991,88750000.0
2002,648.1079,112500000.0
2003,938.02026,71500000.0
2004,722.8854,111750000.0
2005,718.0294,166250000.0
2006,765.1275,182000000.0
2007,758.84674,183500000.0
2008,729.4513,174000000.0
2009,696.64215,124500000.0
2010,785.84955,200000000.0
2011,743.9531,189500000.0
2012,929.75836,259250000.0
2013,670.27203,102250000.0
2014,689.3458,118250000.0
2015,648.4767,104750000.0
2016,676.7573,110500000.0
2017,676.01953,130750000.0
2018,646.55096,104250000.0
2019,655.7384,107250000.0
2020,646.3529,119500000.0
2021,686.5271,132250000.0
2022,661.92096,136000000.0
2023,747.2409,181000000.0
2024,811.67755,115250000.0
2025,1011.9827,151250000.0
