year,percentile_90,extent
2001,1020.5756,41250000.0
2002,992.2947,61250000.0
2003,1094.3595,38500000.0
2004,1018.4145,58000000.0
2005,893.3133,86750000.0
2006,961.3973,94500000.0
2007,957.00726,100250000.0
2008,904.1138,98750000.0
2009,1008.8075,71750000.0
2010,974.4703,122250000.0
2011,903.5872,100250000.0
2012,1038.7631,145250000.0
2013,1019.26996,41000000.0
2014,1019.5742,55250000.0
2015,1026.0209,46000000.0
2016,1037.9072,52000000.0
2017,971.9229,71000000.0
2018,1014.861,46250000.0
2019,1009.2556,51500000.0
2020,1017.10425,57750000.0
2021,968.99493,74500000.0
2022,996.07886,61750000.0
2023,948.6331,95000000.0
2024,1034.0377,58750000.0
2025,1116.7035,67750000.0
