year,percentile_90,extent
2001,1108.8834,74000000.0
2002,1060.5292,103500000.0
2003,1156.6912,45000000.0
2004,1113.8032,59500000.0
2005,1064.9797,116500000.0
2006,1068.2216,112250000.0
2007,1064.2366,114000000.0
2008,1132.3856,50500000.0
2009,1121.817,59500000.0
2010,1072.274,112250000.0
2011,1081.1113,95750000.0
2012,1108.8834,94000000.0
2013,1105.9805,67250000.0
2014,1066.8184,111250000.0
2015,1133.826,52750000.0
2016,1064.7678,90750000.0
2017,1153.427,49500000.0
2018,1133.4724,51000000.0
2019,1064.5092,109750000.0
2020,1063.1981,89250000.0
2021,1066.0122,102000000.0
2022,1113.7488,65000000.0
2023,1088.1058,74250000.0
2024,1090.484,79000000.0
2025,1071.8403,108500000.0
