year,percentile_90,extent
2001,2434.315,2183750000.0
2002,2350.7917,2668750000.0
2003,2442.6292,1767000000.0
2004,2361.988,2485750000.0
2005,2282.4456,3683750000.0
2006,2334.774,2942750000.0
2007,2284.0957,3739000000.0
2008,2371.999,2195500000.0
2009,2363.9744,2346500000.0
2010,2289.9937,3936500000.0
2011,2254.1448,3836500000.0
2012,2299.7612,4416750000.0
2013,2271.5166,3423000000.0
2014,2282.7097,3603250000.0
2015,2429.3848,2169250000.0
2016,2286.1714,3961500000.0
2017,2452.6453,1929250000.0
2018,2345.2888,2885250000.0
2019,2279.0186,4092750000.0
2020,2241.831,3356750000.0
2021,2262.9497,3609500000.0
2022,2263.5835,3071250000.0
2023,2281.5757,3383250000.0
2024,2242.0708,3602750000.0
2025,2267.355,3319000000.0
