year,percentile_90,extent
2001,714.6931,275500000.0
2002,618.0032,191500000.0
2003,718.17804,251750000.0
2004,730.6485,258500000.0
2005,664.11017,182500000.0
2006,680.4652,230000000.0
2007,785.6818,285250000.0
2008,818.2137,342750000.0
2009,818.7383,342000000.0
2010,750.26697,271500000.0
2011,869.2232,366000000.0
2012,931.7919,452000000.0
2013,641.31146,151000000.0
2014,817.17004,317500000.0
2015,931.6947,460750000.0
2016,719.4226,225000000.0
2017,634.4362,222000000.0
2018,553.1062,150000000.0
2019,839.3954,390250000.0
2020,666.1988,186250000.0
2021,708.4999,229750000.0
2022,755.6632,261500000.0
2023,733.3025,257250000.0
2024,721.8459,188000000.0
2025,626.6934,136250000.0
