year,percentile_90,extent
2001,2154.7207,883250000.0
2002,2135.0698,933250000.0
2003,2151.8413,755750000.0
2004,2134.6655,870250000.0
2005,2027.517,1422750000.0
2006,2114.371,1018250000.0
2007,2041.3436,1415000000.0
2008,2137.2212,836500000.0
2009,2122.4355,915000000.0
2010,2057.483,1445000000.0
2011,2052.5156,1300500000.0
2012,2071.0188,1407500000.0
2013,2114.055,1005500000.0
2014,2061.753,1329750000.0
2015,2152.8274,844000000.0
2016,2090.6338,1211000000.0
2017,2167.6125,775000000.0
2018,2149.5525,871250000.0
2019,2075.1255,1317500000.0
2020,2038.0673,1199750000.0
2021,2051.683,1311250000.0
2022,2142.4727,822500000.0
2023,2127.816,985250000.0
2024,2011.5455,1403500000.0
2025,2080.1184,1139500000.0
