year,percentile_90,extent
2001,1997.5487,274500000.0
2002,1651.5294,372500000.0
2003,1907.2549,185250000.0
2004,1887.7001,227000000.0
2005,1792.6841,309000000.0
2006,1638.1919,317750000.0
2007,1719.839,330250000.0
2008,1806.7817,232750000.0
2009,1798.6929,230000000.0
2010,1803.6499,359500000.0
2011,1778.6256,292250000.0
2012,2032.1912,358000000.0
2013,1911.7113,203500000.0
2014,1907.8914,282500000.0
2015,1988.956,222250000.0
2016,1929.119,273750000.0
2017,2009.3068,206750000.0
2018,2031.3721,201000000.0
2019,1665.346,346500000.0
2020,1777.4028,233500000.0
2021,1778.6256,299750000.0
2022,1889.0259,194250000.0
2023,1813.388,266750000.0
2024,1636.2628,215000000.0
2025,1650.6804,254250000.0
