year,percentile_90,extent
2001,1236.4362,93000000.0
2002,1191.7369,115500000.0
2003,1274.9689,78250000.0
2004,1240.011,89000000.0
2005,1191.7219,105750000.0
2006,1214.9934,99750000.0
2007,1221.8118,106250000.0
2008,1237.2646,92250000.0
2009,1235.7582,93750000.0
2010,1211.8624,104750000.0
2011,1220.163,100500000.0
2012,1234.4021,105250000.0
2013,1251.5264,84500000.0
2014,1229.6084,106250000.0
2015,1264.8705,80500000.0
2016,1237.2646,94750000.0
2017,1252.7612,82750000.0
2018,1259.4886,81500000.0
2019,1220.6052,113500000.0
2020,1237.0385,91500000.0
2021,1218.6859,101000000.0
2022,1254.1068,82500000.0
2023,1211.6556,105000000.0
2024,1193.7212,100000000.0
2025,1230.6244,99000000.0
