year,percentile_90,extent
2001,1151.9297,1409000000.0
2002,1091.737,1139000000.0
2003,1093.8938,1240250000.0
2004,1147.372,1067750000.0
2005,1167.3519,1492750000.0
2006,1089.8472,1175750000.0
2007,1107.3418,1306500000.0
2008,1136.3625,1471750000.0
2009,1118.993,1337000000.0
2010,1132.4285,1261500000.0
2011,1152.9707,1549500000.0
2012,1161.1909,1568000000.0
2013,999.45135,540250000.0
2014,1126.842,1386750000.0
2015,1225.1923,1814750000.0
2016,1096.1293,1270750000.0
2017,1025.7867,777250000.0
2018,992.2303,699750000.0
2019,1168.2643,1625750000.0
2020,1110.909,1352500000.0
2021,1134.6217,1279250000.0
2022,1144.0186,1433250000.0
2023,1168.0447,1586500000.0
2024,1102.724,1017250000.0
2025,1172.9484,1249500000.0
