year,percentile_90,extent
2001,1034.1112,301750000.0
2002,1035.75,301750000.0
2003,1125.7723,340250000.0
2004,1133.3322,346500000.0
2005,1104.0786,331250000.0
2006,1116.8466,335250000.0
2007,1203.4121,387500000.0
2008,1159.5472,363750000.0
2009,1104.0525,331500000.0
2010,1199.7996,384000000.0
2011,1209.6943,391000000.0
2012,1287.2257,429250000.0
2013,1162.455,362250000.0
2014,1210.6539,391500000.0
2015,1213.7916,393000000.0
2016,1224.8713,399750000.0
2017,1132.7944,345250000.0
2018,1078.2668,317000000.0
2019,1233.7295,407500000.0
2020,1067.2998,312250000.0
2021,1129.5442,342500000.0
2022,1093.3523,325750000.0
2023,1171.1008,346750000.0
2024,1061.3779,312750000.0
2025,1138.8145,348250000.0
