year,percentile_90,extent
2001,1361.2357,177250000.0
2002,1346.7495,233250000.0
2003,1402.7001,145250000.0
2004,1377.8822,178000000.0
2005,1336.7416,249750000.0
2006,1316.2877,308750000.0
2007,1344.5912,294750000.0
2008,1344.6129,331750000.0
2009,1360.5907,245000000.0
2010,1339.4277,294000000.0
2011,1322.7971,263750000.0
2012,1378.5862,374250000.0
2013,1398.6769,186250000.0
2014,1379.4023,207250000.0
2015,1367.6576,205250000.0
2016,1420.6943,204750000.0
2017,1359.5425,243750000.0
2018,1327.0574,248750000.0
2019,1367.725,212500000.0
2020,1343.3844,239250000.0
2021,1329.6035,297000000.0
2022,1345.6594,206750000.0
2023,1369.098,343500000.0
2024,1322.7971,251250000.0
2025,1344.6129,311750000.0
