year,percentile_90,extent
2001,1900.9363,538250000.0
2002,1864.1631,571250000.0
2003,1844.6696,483500000.0
2004,1875.7869,596500000.0
2005,1878.5846,537500000.0
2006,1886.3906,550500000.0
2007,1864.9463,660000000.0
2008,1850.055,489500000.0
2009,1912.7262,392250000.0
2010,1912.9252,604500000.0
2011,1845.1182,555250000.0
2012,1924.7466,675500000.0
2013,1871.5618,646500000.0
2014,1920.7074,474500000.0
2015,1948.501,423000000.0
2016,1912.9135,524750000.0
2017,1903.4985,431000000.0
2018,1920.8098,448750000.0
2019,1913.0989,626250000.0
2020,1844.0054,463250000.0
2021,1931.2079,630250000.0
2022,1863.239,363500000.0
2023,1902.1624,530250000.0
2024,2324.6335,767750000.0
2025,1918.0685,577250000.0
