year,percentile_90,extent
2001,1119.2382,844000000.0
2002,1115.7538,886750000.0
2003,1100.0557,937250000.0
2004,1051.7604,613500000.0
2005,1064.5607,729250000.0
2006,1083.0635,743500000.0
2007,1027.757,522750000.0
2008,1157.2332,1199500000.0
2009,1078.1533,693250000.0
2010,1062.2073,794000000.0
2011,1061.9087,794000000.0
2012,1182.23,1238250000.0
2013,1051.9597,669250000.0
2014,1119.5221,929500000.0
2015,1120.0281,961000000.0
2016,1176.1312,1251000000.0
2017,1132.2688,1085750000.0
2018,1077.3124,614750000.0
2019,1140.0482,1166000000.0
2020,1135.6592,1125250000.0
2021,1136.5082,1045000000.0
2022,1111.0531,900750000.0
2023,1221.79,1511750000.0
2024,1082.0061,822500000.0
2025,967.83655,376750000.0
