year,percentile_90,extent
2001,944.1583,18500000.0
2002,792.3174,10750000.0
2003,814.5416,13250000.0
2004,691.56464,8500000.0
2005,826.0201,13500000.0
2006,902.81647,16000000.0
2007,945.2898,20250000.0
2008,908.253,17250000.0
2009,912.23,19250000.0
2010,944.91266,20500000.0
2011,978.806,26250000.0
2012,1007.89685,31750000.0
2013,715.2411,9500000.0
2014,973.8697,17750000.0
2015,954.9266,24250000.0
2016,979.0918,16000000.0
2017,695.2593,9750000.0
2018,1002.6435,12000000.0
2019,907.7209,17500000.0
2020,1003.1358,25250000.0
2021,752.0623,10500000.0
2022,946.99164,19750000.0
2023,1003.46014,27250000.0
2024,937.04626,17500000.0
2025,975.9097,15500000.0
