year,percentile_90,extent
2001,1061.501708984375,5250000.0
2002,997.7321166992188,1250000.0
2003,1064.564208984375,4250000.0
2004,,0.0
2005,877.51904296875,1750000.0
2006,1065.329833984375,4000000.0
2007,911.3953857421875,3250000.0
2008,890.53466796875,3000000.0
2009,1025.2935791015625,6000000.0
2010,953.1397705078125,4000000.0
2011,984.7962036132812,6250000.0
2012,1051.86572265625,8750000.0
2013,868.6641235351562,1000000.0
2014,1001.4862060546875,6250000.0
2015,951.4746704101562,5250000.0
2016,878.5428466796875,1500000.0
2017,815.9871826171875,1000000.0
2018,1061.07958984375,750000.0
2019,882.6381225585938,3000000.0
2020,1063.032958984375,4750000.0
2021,865.490966796875,1500000.0
2022,946.997314453125,4000000.0
2023,1035.4437255859375,7750000.0
2024,945.538330078125,3500000.0
2025,865.9661865234375,2000000.0
