year,percentile_90,extent
2001,762.6715,86250000.0
2002,681.65967,56500000.0
2003,768.80725,104000000.0
2004,741.7847,92250000.0
2005,764.0397,103250000.0
2006,758.4591,100500000.0
2007,780.6442,112000000.0
2008,828.99835,124500000.0
2009,823.9728,121750000.0
2010,815.1376,121750000.0
2011,871.22723,136000000.0
2012,877.40515,137500000.0
2013,626.2677,39000000.0
2014,763.8198,100250000.0
2015,886.86304,140000000.0
2016,779.0342,112500000.0
2017,717.21295,70750000.0
2018,632.05756,41000000.0
2019,793.525,115500000.0
2020,850.8959,127750000.0
2021,747.56573,98500000.0
2022,781.3515,113250000.0
2023,853.0036,130500000.0
2024,767.79614,98250000.0
2025,704.0221,67500000.0
