year,percentile_90,extent
2001,2030.9943,1536250000.0
2002,2040.0054,1385000000.0
2003,2065.617,1322000000.0
2004,2042.4086,1429250000.0
2005,2033.1505,1478000000.0
2006,2013.4597,1478000000.0
2007,2028.4097,1651750000.0
2008,2033.3065,1490750000.0
2009,2028.4093,1518750000.0
2010,2033.1505,1628000000.0
2011,2022.0066,1608250000.0
2012,2046.2152,1816250000.0
2013,2026.7579,1696000000.0
2014,2026.3964,1811000000.0
2015,2055.5122,1518250000.0
2016,2024.9443,1798500000.0
2017,2034.4286,1602750000.0
2018,2026.2877,1608250000.0
2019,2045.2126,1736750000.0
2020,2022.0837,1491500000.0
2021,2000.7434,1692750000.0
2022,2010.816,1578750000.0
2023,2016.9438,1647500000.0
2024,1997.6411,1498250000.0
2025,2008.2537,1598750000.0
