year,percentile_90,extent
2001,1512.8896,161500000.0
2002,1541.1791,155500000.0
2003,1608.5348,118250000.0
2004,1564.7991,149000000.0
2005,1512.8315,169750000.0
2006,1513.6626,169750000.0
2007,1542.9551,171750000.0
2008,1528.0721,197250000.0
2009,1543.968,145000000.0
2010,1552.4866,178000000.0
2011,1528.0933,173750000.0
2012,1559.4508,221000000.0
2013,1577.9122,121500000.0
2014,1559.747,158250000.0
2015,1551.2755,177750000.0
2016,1544.4957,164750000.0
2017,1531.0178,179750000.0
2018,1504.1895,159250000.0
2019,1542.7123,145000000.0
2020,1557.3336,163000000.0
2021,1526.0055,178500000.0
2022,1544.4957,184750000.0
2023,1554.5623,219000000.0
2024,1525.7842,169750000.0
2025,1508.6152,176500000.0
