year,percentile_90,extent
2001,1323.3583,176500000.0
2002,1410.3102,140500000.0
2003,1540.8235,84500000.0
2004,1443.1968,135500000.0
2005,1314.4767,180250000.0
2006,1313.6057,175500000.0
2007,1328.7709,181750000.0
2008,1312.7058,206250000.0
2009,1417.6102,130000000.0
2010,1329.4069,204750000.0
2011,1335.1451,178000000.0
2012,1400.3334,268000000.0
2013,1476.5046,111000000.0
2014,1387.3375,150250000.0
2015,1347.383,174250000.0
2016,1351.1423,178000000.0
2017,1312.2632,201500000.0
2018,1326.782,167750000.0
2019,1440.6863,125750000.0
2020,1314.6346,186000000.0
2021,1300.9338,206250000.0
2022,1311.8203,194250000.0
2023,1424.5428,279250000.0
2024,1347.7494,172750000.0
2025,1314.7024,192750000.0
