year,percentile_90,extent
2001,1481.1853,128000000.0
2002,1506.1833,120250000.0
2003,1541.339,108000000.0
2004,1512.0459,136500000.0
2005,1378.4796,158750000.0
2006,1435.3988,160000000.0
2007,1503.2896,163500000.0
2008,1462.5178,198000000.0
2009,1445.2942,133750000.0
2010,1453.2467,189750000.0
2011,1367.9949,163000000.0
2012,1540.7507,254000000.0
2013,1454.2313,129500000.0
2014,1508.0616,144500000.0
2015,1498.5463,162000000.0
2016,1538.4032,149500000.0
2017,1486.6742,175000000.0
2018,1454.2313,129500000.0
2019,1489.5607,130250000.0
2020,1486.995,157250000.0
2021,1450.4401,165250000.0
2022,1489.5607,185250000.0
2023,1527.0417,276750000.0
2024,1428.6189,157250000.0
2025,1394.9753,178000000.0
