year,percentile_90,extent
2001,733.33887,200750000.0
2002,750.9437,187000000.0
2003,866.96173,145250000.0
2004,803.0215,218750000.0
2005,731.9619,284750000.0
2006,746.3556,212500000.0
2007,771.4085,210500000.0
2008,772.7742,253000000.0
2009,780.78375,186500000.0
2010,771.1535,441750000.0
2011,684.3333,249500000.0
2012,771.58826,312000000.0
2013,811.94604,175250000.0
2014,825.81464,163000000.0
2015,736.8297,184750000.0
2016,865.2278,159750000.0
2017,755.16016,203000000.0
2018,753.05194,156250000.0
2019,803.3568,153500000.0
2020,840.7418,191000000.0
2021,800.85443,183500000.0
2022,784.7088,188750000.0
2023,757.03357,313250000.0
2024,748.5401,193250000.0
2025,747.01385,215750000.0
