year,percentile_90,extent
2001,389.60724,130000000.0
2002,446.1523,75250000.0
2003,417.9551,101000000.0
2004,392.20642,89250000.0
2005,466.69824,75500000.0
2006,434.77695,103500000.0
2007,415.5167,134000000.0
2008,420.78604,168750000.0
2009,409.08417,164750000.0
2010,383.12552,161250000.0
2011,422.95825,163000000.0
2012,421.32996,169750000.0
2013,467.09888,59750000.0
2014,415.62885,103750000.0
2015,420.30008,162250000.0
2016,399.95016,127750000.0
2017,385.07904,99500000.0
2018,434.40125,58750000.0
2019,411.58878,142250000.0
2020,424.9001,110250000.0
2021,423.0954,130250000.0
2022,407.50052,106500000.0
2023,457.36243,100250000.0
2024,470.88574,76500000.0
2025,466.08597,58500000.0
