year,percentile_90,extent
2001,1160.3793,167750000.0
2002,962.73065,95250000.0
2003,861.1767,114750000.0
2004,741.93555,79250000.0
2005,1022.7359,169500000.0
2006,828.0554,111500000.0
2007,891.72125,138500000.0
2008,910.62476,144250000.0
2009,915.4266,145750000.0
2010,923.1782,152500000.0
2011,959.91473,188750000.0
2012,1213.032,260500000.0
2013,759.96313,83750000.0
2014,1216.1704,150250000.0
2015,962.6356,175500000.0
2016,991.96375,147500000.0
2017,1039.7668,109750000.0
2018,1078.1925,104250000.0
2019,1135.9979,161250000.0
2020,994.91113,176500000.0
2021,1122.3904,129500000.0
2022,902.6245,142750000.0
2023,966.31287,184750000.0
2024,949.03204,146000000.0
2025,979.27295,141000000.0
