year,percentile_90,extent
2001,723.7117,24000000.0
2002,679.8125,12750000.0
2003,746.8946,28000000.0
2004,658.1967,13500000.0
2005,719.92645,22000000.0
2006,763.22144,29000000.0
2007,769.9727,31000000.0
2008,769.9727,31000000.0
2009,769.9727,31000000.0
2010,769.9727,31000000.0
2011,769.9727,31000000.0
2012,769.9727,31000000.0
2013,640.2355,9250000.0
2014,757.98535,28000000.0
2015,769.9727,31000000.0
2016,700.44183,24750000.0
2017,725.5181,22250000.0
2018,733.12317,14500000.0
2019,759.9846,29750000.0
2020,764.17126,29750000.0
2021,720.7068,21500000.0
2022,759.6816,30000000.0
2023,769.45715,30750000.0
2024,757.55255,29250000.0
2025,772.2947,24000000.0
