year,percentile_90,extent
2001,972.6442,208500000.0
2002,926.7926,179750000.0
2003,1003.66693,221000000.0
2004,901.66034,164000000.0
2005,750.64276,110500000.0
2006,871.2735,146750000.0
2007,968.9503,206500000.0
2008,1017.9811,225500000.0
2009,938.37897,184000000.0
2010,1130.8096,272500000.0
2011,1006.6015,222750000.0
2012,1130.9496,267250000.0
2013,972.402,208000000.0
2014,1021.25415,226500000.0
2015,754.4776,110500000.0
2016,1017.9811,225500000.0
2017,980.0219,210750000.0
2018,970.12585,207250000.0
2019,1028.5735,227750000.0
2020,987.19556,215000000.0
2021,972.47437,208250000.0
2022,955.2701,201000000.0
2023,1152.1014,284250000.0
2024,1051.354,232750000.0
2025,1101.7272,255750000.0
