year,percentile_90,extent
2001,723.08594,221250000.0
2002,593.33136,178000000.0
2003,641.13,216250000.0
2004,655.83765,212250000.0
2005,631.69464,194250000.0
2006,645.39185,210500000.0
2007,696.7471,255000000.0
2008,726.11053,284500000.0
2009,732.3665,293750000.0
2010,718.3584,280000000.0
2011,772.86395,315750000.0
2012,825.2618,365000000.0
2013,584.4062,161750000.0
2014,696.1616,243500000.0
2015,820.7946,349750000.0
2016,653.0436,216000000.0
2017,636.46564,210250000.0
2018,587.66,176750000.0
2019,782.691,331000000.0
2020,653.5277,210250000.0
2021,645.84753,212500000.0
2022,649.09436,212750000.0
2023,675.83014,228750000.0
2024,663.2288,212750000.0
2025,614.2558,176000000.0
