year,percentile_90,extent
2001,922.7268,237250000.0
2002,910.0759,235500000.0
2003,947.27747,202250000.0
2004,960.67285,259000000.0
2005,890.0727,299000000.0
2006,933.9627,260500000.0
2007,938.59656,257000000.0
2008,947.0936,311750000.0
2009,933.93933,218250000.0
2010,977.4957,310250000.0
2011,911.756,294000000.0
2012,938.938,327500000.0
2013,929.7394,186500000.0
2014,947.84674,218250000.0
2015,933.8459,269250000.0
2016,946.4375,225000000.0
2017,942.83734,247250000.0
2018,914.07776,203000000.0
2019,945.35834,205750000.0
2020,930.5493,250500000.0
2021,917.7193,260250000.0
2022,932.9945,247750000.0
2023,938.27264,341750000.0
2024,952.5555,228500000.0
2025,914.64557,308500000.0
