year,percentile_90,extent
2001,1288.1129,186250000.0
2002,1296.3495,162500000.0
2003,1461.6704,106500000.0
2004,1387.4531,184000000.0
2005,1250.604,209250000.0
2006,1278.5817,211750000.0
2007,1324.4059,194750000.0
2008,1328.5676,250750000.0
2009,1260.5276,162500000.0
2010,1332.3646,220000000.0
2011,1262.37,209000000.0
2012,1326.4182,331000000.0
2013,1424.6915,120250000.0
2014,1453.3853,140750000.0
2015,1353.273,188750000.0
2016,1464.7734,154000000.0
2017,1362.5173,194500000.0
2018,1362.2828,142500000.0
2019,1441.8369,117750000.0
2020,1426.7402,170000000.0
2021,1316.6478,201250000.0
2022,1344.0684,213750000.0
2023,1387.2067,309500000.0
2024,1380.5228,152250000.0
2025,1299.8115,186500000.0
