year,percentile_90,extent
2001,1301.1602,496500000.0
2002,1203.8335,373500000.0
2003,1360.071,603250000.0
2004,1260.8655,438500000.0
2005,1186.4548,346000000.0
2006,1271.1777,450250000.0
2007,1462.26,704750000.0
2008,1374.6569,615000000.0
2009,1254.1053,431750000.0
2010,1498.239,809000000.0
2011,1545.3647,964000000.0
2012,1736.5474,1328000000.0
2013,1327.4357,533250000.0
2014,1366.9165,597000000.0
2015,1161.9152,308000000.0
2016,1497.9812,768000000.0
2017,1295.9147,497000000.0
2018,1328.6293,528250000.0
2019,1492.5367,808750000.0
2020,1421.0427,693000000.0
2021,1725.7726,791000000.0
2022,1344.41,525250000.0
2023,1700.961,1039500000.0
2024,1292.1794,459000000.0
2025,1458.0088,708250000.0
